item,1970-01-01,2012-11-09,2012-11-11,2012-11-18,2012-11-25,2012-12-02,2012-12-10,2012-12-16,2012-12-23,2013-01-01,2013-01-06,2013-01-13,2013-01-20,2013-01-27,2013-02-03,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17,2013-03-24,2013-03-31,2013-04-07,2013-04-14,2013-04-21,2013-04-28,2013-05-05,2013-05-12,2013-05-19,2013-05-26,2013-06-02,2013-06-09,2013-06-16,2013-06-23,2013-06-30,2013-07-07,2013-07-14,2013-07-21,2013-07-28,2013-08-04,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-15,2014-01-19,2014-01-26,2014-02-02,2014-02-09
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,10,18,38,26,16,20,8,10,14,17,2,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,5,5,18,14,9,16,1,6,8,12,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,3,12,9,7,12,1,5,7,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,8,12,14,11,32,84,71,36,33,14,26,28,32,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,6,10,8,8,17,35,24,15,17,8,9,12,15,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,576,1693,2567,2435,9043,13787,11958,9673,9982,8450,5578,9895,8275,4278,33446,2226,2008,3522,5143,6033,5921,4974,2919,2694,1824,1776,1365,1811,615,1467,1862,1843,1652,1578,1654,1960,1845,2005,1938,1641,1800,2334,2440,2052,1905,2444,1505,1828,2132,2272,1695,1748,732,661,593,159
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,132,368,480,496,1193,1250,870,758,647,593,370,628,437,203,154,119,120,110,94,168,172,189,76,79,74,100,96,80,62,68,71,80,90,87,114,117,119,104,111,119,116,124,113,120,102,105,80,93,101,114,70,63,42,29,30,8
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,208,645,942,681,1932,4850,3887,4267,4426,4286,3163,5209,3558,3590,32911,1803,1615,3050,4623,3754,4226,2822,2581,2417,1354,1262,926,1559,401,1181,1335,1452,1315,1287,1236,1419,1298,1523,1368,1099,1131,1488,1767,1414,1481,1987,1122,1408,1472,1584,1335,1394,516,529,447,77
