item,1970-01-01,2012-07-17,2012-07-22,2012-07-29,2012-08-05,2012-08-12,2012-08-19,2012-08-26,2012-09-02,2012-09-09,2012-09-16,2012-09-23,2012-09-30,2012-10-07,2012-10-14,2012-10-21,2012-10-28,2012-11-04,2012-11-11,2012-11-18,2012-11-25,2012-12-02,2012-12-09,2012-12-16,2012-12-23,2012-12-30,2013-01-06,2013-01-13,2013-01-20,2013-01-27,2013-02-03,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17,2013-03-24,2013-03-31,2013-04-07,2013-04-14,2013-04-21,2013-04-28,2013-05-05,2013-05-14,2013-05-20,2013-05-28,2013-06-08,2013-06-09,2013-06-16,2013-06-26,2013-06-30,2013-07-07,2013-07-14,2013-07-21,2013-07-31,2013-08-08,2013-08-11,2013-08-18,2014-05-22,2014-05-31,2014-06-03
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,450,354,178,157,139,83,47,69,87,83,47,17,5,2,3,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,301,281,118,207,271,158,58,136,147,160,50,16,5,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,137,126,65,68,57,38,20,37,39,36,19,8,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,745,639,323,315,332,232,76,125,209,213,65,24,6,1,7,2,11,0,0,0,0,0,0,1,3,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,401,309,152,135,124,75,40,65,74,66,38,15,4,1,3,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,5,3488,109738,95555,73350,62966,59934,66386,40027,57377,85034,81910,46311,23090,13846,11190,81009,11856,11281,8434,8604,7002,4729,6771,5117,5452,2222,2736,1082,0,0,0
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2354,12399,10359,7324,5623,4776,3918,2744,3413,3646,3393,1918,869,567,439,424,376,345,307,274,248,176,214,183,178,158,157,48,0,0,0
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,470,43427,40462,37685,34745,35273,46302,26925,43257,69817,66735,38035,19792,11943,9749,79369,10620,9915,7246,7305,5983,4084,5897,4528,4764,1505,1974,934,0,0,0
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,365,4853,4173,3219,2573,2293,2023,1191,1874,2188,1951,926,420,271,190,219,191,154,133,119,125,84,88,76,81,53,62,19,0,0,0
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,4,3018,66311,55093,35665,28221,24661,20084,13102,14120,15217,15175,8276,3298,1903,1441,1640,1236,1366,1188,1299,1019,645,874,589,688,717,762,148,0,0,0
