item,2013-07-25,2013-07-28,2013-08-04,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-08,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-10,2014-03-16,2014-03-25,2014-04-05,2014-04-25,2014-05-06,2014-05-12,2014-05-24,2014-05-28,2014-06-02,2014-06-08,2014-06-26
forum_combined_unique,0,0,0,0,0,0,0,0,0,8,34,162,148,137,96,95,69,61,50,57,59,51,19,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,2,6,105,135,110,73,93,65,27,34,58,54,29,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,2,5,50,53,53,39,43,30,18,19,24,32,17,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,9,38,300,282,245,192,213,167,116,91,100,72,69,20,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,7,31,152,131,120,83,82,58,54,46,49,40,45,15,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,255,3319,58540,57922,52317,43487,35911,39863,39630,32562,41609,75718,32891,23216,18341,16212,18045,14639,12585,11908,13028,13306,12241,6269,6,2,4,6,1,9,27,35,2,0,1,3
lecture_combined_unique,0,0,0,0,0,0,0,0,0,167,2061,7231,6429,5270,4023,2933,2853,2685,2058,2402,2734,1393,962,801,735,876,828,730,690,706,659,654,350,4,2,2,2,1,3,1,1,1,0,1,1
lecture_download_total,0,0,0,0,0,0,0,0,0,63,543,22127,25058,23394,21997,20376,25637,27327,22987,31396,65054,26562,18825,14239,12827,14043,10662,9258,8145,9851,10352,9288,4879,0,0,0,0,0,0,0,0,0,0,0,0
lecture_download_unique,0,0,0,0,0,0,0,0,0,36,402,2846,2635,2188,1745,1346,1370,1340,992,1334,1580,645,424,318,295,339,306,257,240,231,227,207,122,0,0,0,0,0,0,0,0,0,0,0,0
lecture_view_total,0,0,0,0,0,0,0,0,0,192,2776,36413,32864,28923,21490,15535,14226,12303,9575,10213,10664,6329,4391,4102,3385,4002,3977,3327,3763,3177,2954,2953,1390,6,2,4,6,1,9,27,35,2,0,1,3
lecture_view_unique,0,0,0,0,0,0,0,0,0,146,1881,6592,5468,4375,3215,2290,2140,1976,1556,1648,1859,1059,741,664,608,735,700,621,587,617,568,564,297,4,2,2,2,1,3,1,1,1,0,1,1
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,3517,8613,13048,8200,6047,5252,4229,4675,3884,3945,2002,221,125,174,120,107,93,122,119,68,82,21,0,0,0,0,0,0,0,0,0,0,0,0
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,1158,2145,2762,1850,1260,1096,981,874,823,739,475,71,51,40,59,57,51,48,37,35,38,14,0,0,0,0,0,0,0,0,0,0,0,0
quiz_survey_total,0,0,0,0,0,0,0,0,0,768,1134,2442,834,348,163,103,87,53,41,53,671,337,80,39,23,29,32,18,20,22,18,16,7,0,0,0,0,0,0,0,0,0,0,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,0,767,1126,2421,822,347,159,100,84,52,40,53,664,324,78,36,21,29,32,18,20,22,18,16,7,0,0,0,0,0,0,0,0,0,0,0,0
quiz_video_total,0,0,0,0,0,0,0,0,0,84,329,11505,13413,11480,8459,6786,7245,6652,5839,5654,4559,2339,1573,1593,1041,1465,1326,1152,1333,1237,921,1136,424,0,0,0,0,0,0,0,0,0,0,0,0
quiz_video_unique,0,0,0,0,0,0,0,0,0,55,238,2120,2452,2057,1489,1050,941,858,690,696,607,363,225,210,178,241,215,193,217,194,151,176,89,0,0,0,0,0,0,0,0,0,0,0,0
registrations,375,962,892,865,1114,1471,1385,1638,3466,3472,2381,3059,2364,1206,884,719,683,646,502,599,596,530,454,465,377,687,665,549,554,514,539,506,188,0,0,0,0,0,0,0,1,8,2,0,0
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,1158,2145,2762,1850,1260,1096,981,874,823,739,475,71,51,40,59,57,51,48,37,35,38,14,0,0,0,0,0,0,0,0,0,0,0,0
