item,2012-04-07,2014-04-07,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-24,2014-07-29,2014-08-04,2014-08-13,2014-08-17,2014-08-24,2014-08-31,2014-09-09,2014-09-14,2014-09-21,2014-09-29,2014-10-05
forum_combined_unique,0,0,0,0,110,113,80,62,44,37,31,28,41,23,24,12,4,10,4,1,0,0,0,2,0,0,0,0
forum_comment_total,0,0,0,0,53,67,36,33,25,18,12,17,29,26,13,5,1,0,8,0,0,0,0,3,0,0,0,0
forum_comment_unique,0,0,0,0,33,34,23,19,13,10,7,12,19,9,7,4,1,0,4,0,0,0,0,2,0,0,0,0
forum_post_total,0,0,0,0,162,211,149,122,110,85,63,57,63,43,48,15,4,17,1,1,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,103,100,74,57,42,37,31,25,33,22,23,11,3,10,1,1,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,29238,30954,27116,23892,22893,25304,20636,22251,26662,37521,25561,12876,7333,6098,4802,4256,3852,2563,1788,2012,1974,1884,2002,259
lecture_combined_unique,0,0,0,0,4004,3920,3115,2470,2158,1970,1716,1631,1741,1866,1162,587,358,302,249,223,182,174,152,162,126,112,119,50
lecture_download_total,0,0,0,0,10276,12265,10550,11235,12244,15188,12646,14642,18918,29627,20089,10297,5741,4602,3491,3299,3038,1834,1210,1337,1261,1389,1427,90
lecture_download_unique,0,0,0,0,1282,1237,1054,875,823,765,735,712,787,952,482,229,122,94,82,57,53,42,39,41,29,29,31,7
lecture_view_total,0,0,0,0,18962,18689,16566,12657,10649,10116,7990,7609,7744,7894,5472,2579,1592,1496,1311,957,814,729,578,675,713,495,575,169
lecture_view_unique,0,0,0,0,3594,3453,2696,2067,1731,1580,1333,1229,1301,1396,927,457,290,257,205,190,155,148,135,144,116,100,108,45
quiz_quiz_total,0,0,0,0,1335,2723,4084,2914,2414,1993,1272,1402,1175,1319,1004,167,66,37,37,16,18,25,14,13,18,5,11,3
quiz_quiz_unique,0,0,0,0,597,1125,1396,798,544,488,368,347,341,318,224,59,23,16,16,14,13,13,10,8,8,5,8,3
quiz_survey_total,0,0,0,0,1358,431,224,100,66,55,34,48,43,315,173,47,6,10,2,4,0,3,2,1,3,2,0,0
quiz_survey_unique,0,0,0,0,1348,429,224,100,66,55,34,48,43,307,168,47,5,10,2,4,0,3,2,1,3,1,0,0
quiz_video_total,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quiz_video_unique,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
registrations,1,2916,2240,2276,2919,2330,1076,1125,847,762,637,613,809,676,493,256,2,0,0,0,0,0,0,0,0,0,1,0
work_combined_unique,0,0,0,0,597,1125,1396,798,544,488,368,347,341,318,224,59,23,16,16,14,13,13,10,8,8,5,8,3
