item,2012-04-07,2013-12-20,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-28,2014-06-02,2014-06-10,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-04,2014-08-11,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-15,2014-09-21,2014-09-28
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,74,44,40,31,30,20,20,16,26,26,11,13,17,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,40,44,21,28,6,2,13,7,7,13,3,9,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,19,18,12,11,4,2,7,3,6,8,3,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,121,69,64,50,43,18,27,24,48,35,20,18,53,14,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,71,34,34,29,27,18,17,16,26,25,9,13,17,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,3744,3788,4391,3068,2228,3229,3836,3173,2106,2243,2428,3036,3018,3547,1406,739,746,277,264,280,73,131,76,110,65,53,131,69,194,84,54,65,13
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,1019,806,698,601,486,525,472,421,294,320,413,436,352,314,120,51,24,23,7,15,7,12,8,9,7,8,10,10,8,6,7,6,6
lecture_download_total,0,0,0,0,0,0,0,0,0,0,1139,1394,1615,1322,893,1364,1529,1427,1130,1257,1217,1927,1577,1399,1175,609,714,223,244,198,63,80,55,85,59,33,98,53,183,60,47,55,6
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,414,302,284,263,190,233,198,174,130,152,205,218,131,102,74,28,17,14,5,7,3,7,1,4,4,4,4,3,3,3,2,5,2
lecture_view_total,0,0,0,0,0,0,0,0,0,0,2605,2394,2776,1746,1335,1865,2307,1746,976,986,1211,1109,1441,2148,231,130,32,54,20,82,10,51,21,25,6,20,33,16,11,24,7,10,7
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,867,659,547,435,360,383,358,338,220,228,301,294,268,251,74,35,15,14,4,13,6,9,8,7,4,7,10,8,6,6,5,2,4
quiz_homework_total,0,0,0,0,0,0,0,0,0,0,240,774,628,698,554,597,370,219,158,395,290,199,268,245,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
quiz_homework_unique,0,0,0,0,0,0,0,0,0,0,115,328,270,236,236,206,141,99,51,111,95,69,111,93,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,311,783,889,899,1038,1083,306,409,336,318,202,320,502,1232,52,3,1,3,0,0,2,0,1,0,0,15,1,0,0,0,0,0,0
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,196,438,343,263,291,245,166,149,102,122,102,132,141,175,9,2,1,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,321,144,45,21,13,11,4,5,1,2,4,3,4,1,84,4,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,313,143,42,20,13,10,4,5,1,2,4,3,4,1,84,4,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
quiz_video_total,0,0,0,0,0,0,0,0,0,0,1849,2233,3489,2279,2311,2670,2532,2314,1260,1260,1628,1633,2451,3643,121,56,4,46,0,74,8,5,5,18,3,4,27,13,0,9,0,0,12
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,358,317,324,238,224,230,238,208,123,123,170,161,169,164,14,8,1,3,0,3,2,1,1,1,1,2,4,3,0,1,0,0,1
registrations,1,32,158,190,185,257,215,189,217,291,528,386,166,111,67,71,62,49,38,47,52,67,58,33,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work_combined_unique,0,0,0,0,0,0,0,0,0,0,226,515,416,352,342,292,192,175,118,147,147,141,165,197,9,2,1,1,0,0,2,0,1,0,0,2,1,0,0,1,0,0,0
