item,2012-04-07,2014-05-23,2014-07-02,2014-07-08,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717,3369,704
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,794,200
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,65,99,80,21
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,25,39,58,12
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,27,9
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,0,101,187,206,24
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,62,90,78,15
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,9232,17797,14107,2737
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,1627,2924,2288,590
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,2989,3109,705
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,328,593,460,109
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,0,7542,14808,10998,2032
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,2751,2089,531
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,0,0,441,1492,1328,265
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,226,703,633,135
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,0,0,249,244,77,7
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,247,244,76,7
quiz_video_total,0,0,0,0,0,0,0,0,0,0,0,0,0,5516,17594,16632,3556
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,519,1220,1073,315
registrations,1,1,1,251,409,350,319,366,489,571,830,1048,1324,1705,1905,1156,91
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,226,930,1064,285
