item,2012-04-07,2014-05-23,2014-07-02,2014-07-08,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,2348,5849,8568,10459,3149
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,715,1177,1363,1444,588
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,71,154,173,172,224,77
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,30,65,124,76,203,27
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,18,38,54,40,59,16
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,123,313,357,488,635,129
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,68,146,161,163,214,69
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,14378,24377,22037,22109,20901,4652
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,2423,3771,3902,3193,2554,843
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,2535,5294,4820,6101,6541,1573
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,498,916,845,791,667,180
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,11843,19083,17217,16008,14360,3079
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,2327,3548,3594,2884,2245,731
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,532,1908,1770,1806,1445,283
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,308,900,850,867,676,151
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,469,454,177,94,49,15
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,466,451,177,94,49,14
quiz_video_total,0,0,0,0,0,0,0,0,0,0,0,9319,21500,22888,24157,23771,5219
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,0,929,1713,1635,1585,1396,456
registrations,1,1,1,321,567,520,538,690,845,955,1736,2097,1919,3677,1702,689,125
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,308,1193,1497,1701,1666,661
