item,2013-02-07,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17,2013-03-24,2013-03-31,2013-04-07,2013-04-14,2013-04-21,2013-04-28,2013-05-05,2013-05-12,2013-05-19,2013-05-26,2013-06-02,2013-06-09,2013-06-16,2013-06-23,2013-06-30,2013-07-07,2013-07-14,2013-07-21,2013-07-28,2013-08-04,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-18,2014-07-20,2014-07-29,2014-08-03,2014-08-10,2014-08-19,2014-08-29,2014-09-01,2014-09-07,2014-09-14,2014-09-21,2014-09-30,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,5252,6499,7873,8032,7630,6736,2625,2470,2977,648,29,51,43,42,28,18,18,33,25,22,47,36,23,16,6,11,18,11,17,25,9,2,5,7,0,4,25,14,16,10,2,2,17,23,7,1,1,4,8,1,1,7,0,0
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,1062,1162,1294,1186,1018,851,398,372,422,86,10,9,6,11,6,5,6,8,7,7,8,6,11,5,3,4,7,2,3,4,3,2,2,2,0,2,4,4,4,3,1,1,2,2,1,1,1,2,2,1,1,2,0,0
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,229,145,129,141,143,164,122,74,58,65,26,5,5,2,1,3,1,1,3,2,2,1,3,1,1,1,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,291,110,81,81,124,100,64,38,36,40,5,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,99,53,39,46,60,57,42,22,14,20,4,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,394,278,257,338,262,334,283,129,143,192,37,5,6,3,1,3,1,1,3,7,3,1,3,1,1,1,2,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,197,127,117,130,122,142,113,65,55,60,24,3,5,2,1,3,1,1,2,2,2,1,3,1,1,1,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12310,28544,20149,21406,23666,22805,26860,26264,19959,14972,13579,10927,6138,4791,4524,3477,3240,3978,5641,3921,4552,5403,4699,5134,6201,4938,5907,4132,3759,3157,4043,2845,3474,3141,2709,3594,3694,2965,2109,2979,2188,2125,1709,654,1222,824,508,437,347,398,466,514,301,222,892,194
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,3727,2917,2483,2300,1890,1867,1624,1244,1087,1005,707,457,426,304,274,279,330,437,336,336,341,445,395,368,352,380,321,298,270,261,227,234,239,209,246,237,193,194,169,199,212,128,70,63,60,52,42,33,36,42,57,38,35,24,8
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138,6623,6366,7832,9406,10599,13272,15764,12452,7547,6375,7281,3858,2580,2959,1760,1928,2382,2477,2130,2551,3373,2053,2430,3942,2933,3706,2231,2156,1845,2336,1608,2385,1938,1500,2238,2590,1818,936,1895,1144,1182,927,316,770,369,208,185,211,186,128,228,116,67,787,135
