item,2013-02-07,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17,2013-03-24,2013-03-31,2013-04-07,2013-04-14,2013-04-21,2013-04-28,2013-05-05,2013-05-12,2013-05-19,2013-05-26,2013-06-02,2013-06-09,2013-06-16,2013-06-23,2013-06-30,2013-07-07,2013-07-14,2013-07-21,2013-07-28,2013-08-04,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-21,2014-07-30,2014-08-06,2014-08-10,2014-08-17,2014-08-24,2014-09-02,2014-09-07,2014-09-18,2014-09-23,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2373,7120,9544,11859,10793,8345,7610,6872,4718,2971,271,38,12,29,19,45,58,73,52,55,43,41,49,47,20,28,38,9,45,22,28,22,11,2,17,6,21,44,87,2,10,15,26,30,8,10,7,0,12,0,20,10,1,9,0
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,1222,1522,1784,1599,1214,1005,842,502,340,46,9,5,5,6,12,10,15,13,14,8,13,11,8,7,7,10,3,4,6,8,6,5,1,3,2,4,4,3,1,2,7,4,6,3,3,2,0,2,0,2,2,1,2,0
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,166,144,178,218,183,161,143,104,87,54,29,3,4,1,0,1,0,2,3,1,0,0,1,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,89,79,129,148,171,161,105,65,81,51,3,0,5,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,42,37,63,75,77,71,57,40,34,20,3,0,3,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,344,320,370,416,488,432,257,214,219,157,35,3,3,1,0,0,0,2,5,1,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,158,136,163,195,168,144,120,89,73,45,28,3,3,1,0,0,0,2,3,1,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15126,37063,35616,34141,29828,21769,23068,28336,20621,14188,9222,9639,6681,6458,4530,3742,5177,5191,6228,6407,5672,6160,7300,6014,8425,5397,5381,4511,4940,3337,4324,3647,3678,3719,3032,3752,2863,3396,2292,3246,2855,2801,2081,1006,694,620,841,410,534,544,350,550,390,218,386,56
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2682,4777,3935,3308,2893,2170,2058,2053,1535,1018,821,694,514,483,355,377,439,481,531,506,480,478,554,485,447,427,475,397,402,322,326,344,345,317,289,338,289,317,276,273,275,319,189,105,76,84,76,55,58,60,46,50,39,29,41,11
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353,10893,14527,14147,12769,8390,10854,16831,12038,9069,5480,6753,4580,4408,2720,2027,3156,2892,3634,3495,2971,3290,3917,2821,6024,3229,2931,2250,2632,1687,2609,1888,2066,2016,1579,2069,1229,1839,875,1607,1506,1314,990,563,352,265,526,136,221,284,146,356,254,120,170,17
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,1409,1272,1068,939,628,673,805,554,361,264,269,169,168,111,111,114,126,139,136,128,132,161,141,124,115,123,94,99,70,74,77,78,67,73,76,61,62,49,57,55,63,46,22,16,15,18,7,7,13,11,14,12,11,8,2
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10773,26170,21089,19994,17059,13379,12214,11505,8583,5119,3742,2886,2101,2050,1810,1715,2021,2299,2594,2912,2701,2870,3383,3193,2401,2168,2450,2261,2308,1650,1715,1759,1612,1703,1453,1683,1634,1557,1417,1639,1349,1487,1091,443,342,355,315,274,313,260,204,194,136,98,216,39
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483,4424,3411,2801,2458,1871,1718,1603,1230,821,671,540,422,391,304,332,389,424,477,450,426,426,482,431,390,376,419,357,353,287,292,307,312,282,258,305,267,285,255,247,252,298,166,93,65,75,66,48,53,51,40,43,33,22,35,10
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,2697,3004,2445,1839,1209,898,861,613,489,377,303,130,82,117,78,79,113,101,131,134,156,128,114,77,74,57,99,51,49,53,57,60,52,40,46,49,53,55,32,36,35,36,27,28,11,14,20,6,8,5,3,1,0,0,0
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,1275,1216,978,810,538,398,321,232,166,147,109,56,35,42,39,38,45,46,44,46,53,64,51,40,37,30,40,29,25,31,25,30,22,22,24,27,24,23,21,15,20,17,12,8,5,6,2,6,3,2,3,1,0,0,0
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,573,175,90,64,38,27,25,16,10,17,10,1,4,2,0,4,2,2,4,1,6,4,2,3,6,3,2,4,5,3,3,6,1,4,5,5,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,569,175,90,64,38,27,25,16,10,17,9,1,4,2,0,4,2,2,4,1,6,4,2,3,6,3,2,3,5,3,3,6,1,4,5,5,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quiz_video_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8148,28839,32293,30722,25103,18626,16428,13873,10646,5847,4182,2764,2375,1917,1954,2322,2742,2860,3472,3712,3715,3655,4328,4275,2491,2236,2726,2601,2440,2025,1892,1915,1919,2045,1341,1973,1767,2090,1865,2040,1477,1658,1217,680,481,502,542,483,511,338,271,256,103,178,159,40
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,2231,1993,1743,1519,1149,1002,904,670,394,284,194,164,142,116,130,148,170,195,222,198,204,209,207,172,148,149,141,132,114,105,117,120,95,96,120,100,102,97,113,90,101,77,50,31,36,38,29,33,21,22,16,8,8,12,5
registrations,863,560,518,588,362,329,303,346,293,294,266,261,296,333,313,315,289,287,399,349,292,371,347,445,338,374,326,360,466,821,776,702,1734,1972,1159,655,538,483,502,435,456,385,371,338,295,290,244,278,362,422,462,358,375,332,446,395,313,359,370,321,331,272,292,296,315,276,293,309,292,294,227,238,281,342,115,7,3,2,3,3,0,2,2,3,2,2,2,1
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,1392,1763,1854,1991,1750,1368,1146,934,585,427,144,63,38,44,41,43,48,53,47,53,53,70,55,44,43,36,46,31,28,37,31,34,26,23,27,28,25,27,23,15,21,19,15,12,6,9,4,6,4,2,5,3,1,2,0
