item,1970-01-01,2012-09-19,2012-09-23,2012-09-30,2012-10-07,2012-10-14,2012-10-21,2012-10-28,2012-11-04,2012-11-11,2012-11-18,2012-11-25,2012-12-02,2012-12-09,2012-12-16,2012-12-23,2012-12-30,2013-01-06,2013-01-13,2013-01-20,2013-01-27,2013-02-03,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17,2013-03-24,2013-03-31,2013-04-07,2013-04-14,2013-04-21,2013-04-28,2013-05-05,2013-05-14,2013-05-20,2013-05-26,2013-06-02,2013-06-09,2013-06-16,2013-06-25,2013-07-01,2013-07-08,2013-07-14,2013-07-21,2013-07-28,2013-08-04,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-08,2014-01-12,2014-01-19,2014-01-31,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-23,2014-05-26,2014-06-02,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,139,105,70,51,47,25,33,31,13,10,13,2,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,106,54,75,16,22,5,10,17,3,4,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,43,37,34,8,15,4,8,12,3,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,255,184,143,128,109,36,52,63,20,12,21,1,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,120,93,61,48,42,24,30,28,12,9,13,1,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41662,46513,34519,37115,31308,32226,21547,43168,35584,19881,64586,14787,6148,5589,57390,6059,5454,4684,6363,2502,1705,2663,2180,1705,1726,1337,1017,1037,1398,1952,869,1160,991,925,1973,1524,703,1919,1711,1396,1414,659,641,830,1593,1008,591,1100,947,1276,822,984,945,694,724,531,464,249,400,310,222,871,153,219,345,410,397,116,134,209,176,239,74,223,382,204,21,27,115,24,73,396,65,73,63,4
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7766,6102,4008,3293,2653,2363,1457,2347,1552,932,772,410,255,205,176,210,181,175,225,115,92,105,84,71,67,81,51,71,61,67,59,49,50,37,48,52,37,44,41,42,50,40,33,43,50,53,44,50,48,40,35,38,47,44,32,37,43,31,19,25,21,18,17,28,20,22,17,19,12,19,14,22,9,20,10,11,9,8,12,9,17,20,8,11,10,2
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13820,21340,16656,22418,19044,22735,16204,36423,30704,17207,62276,13350,5408,5048,56840,5325,4730,4097,5130,2239,1449,2389,1876,1368,1514,1116,865,828,1205,1784,735,1035,881,839,1834,1329,625,1831,1578,1333,1319,582,573,746,1409,876,448,952,826,1198,704,864,801,581,631,430,338,157,374,231,139,845,89,153,258,330,358,50,103,171,155,99,42,181,360,88,2,16,83,0,38,332,27,45,1,0
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2664,2388,1702,1520,1302,1221,657,1458,832,468,378,181,137,92,86,111,77,83,76,57,36,51,41,32,30,38,20,25,27,32,21,17,28,21,24,28,17,26,22,27,26,19,15,22,25,22,13,23,15,17,16,14,18,21,16,8,12,10,7,9,6,6,5,7,7,6,5,3,4,7,7,4,3,6,4,3,1,2,3,0,1,3,1,1,1,0
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27842,25173,17863,14697,12264,9491,5343,6745,4880,2674,2310,1437,740,541,550,734,724,587,1233,263,256,274,304,337,212,221,152,209,193,168,134,125,110,86,139,195,78,88,133,63,95,77,68,84,184,132,143,148,121,78,118,120,144,113,93,101,126,92,26,79,83,26,64,66,87,80,39,66,31,38,21,140,32,42,22,116,19,11,32,24,35,64,38,28,62,4
