item,2012-04-07,2013-11-11,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,60,48,48,30,23,17,17,10,13,9,3,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,65,12,15,13,18,7,6,2,9,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,5,11,9,13,5,5,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,81,78,86,37,27,26,21,9,15,10,4,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,48,48,43,27,17,14,16,8,11,7,3,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13852,18020,16311,15575,13747,9212,15721,25288,18346,10811,5824,7903,5531,4251,4537,4986,4105,2793,3370,3418,3213,2885,4552,4210,4100,4057,2300,2919,2057,677
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2954,2547,1921,1491,1179,806,1108,1112,749,503,330,342,273,248,245,268,211,173,198,194,212,226,229,212,227,216,186,204,197,68
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4795,8510,8484,9102,8862,5519,12001,21824,15347,8751,4237,6686,4569,3510,3674,3435,3232,2243,2685,2603,2392,2051,3374,3519,3235,3321,1721,2279,1283,463
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,893,716,610,528,297,575,671,342,180,98,137,99,81,82,81,68,49,58,62,58,56,64,49,61,55,45,50,40,15
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9057,9510,7827,6473,4885,3693,3720,3464,2999,2060,1587,1217,962,741,863,1551,873,550,685,815,821,834,1178,691,865,736,579,640,774,214
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471,1976,1477,1069,800,611,672,604,501,357,270,238,203,190,188,218,161,143,160,159,172,189,189,180,185,181,152,167,171,56
quiz_exam_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,124,129,2,3,0,0,4,1,1,0,0,0,0,0,1,0,0,0,1,0,0
quiz_exam_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,124,129,2,3,0,0,4,1,1,0,0,0,0,0,1,0,0,0,1,0,0
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,1952,2679,2861,2864,1776,2073,1320,1062,338,105,28,48,10,11,63,15,27,24,17,16,16,19,28,23,8,10,6,8,3
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,732,804,633,526,360,390,310,227,116,37,15,17,7,6,18,9,9,10,10,9,12,10,11,11,8,6,5,7,3
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,55,18,5,8,6,2,1,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,55,18,5,8,6,2,1,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
quiz_video_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11582,12371,10617,8538,7369,5175,6289,4700,3587,2072,1364,1084,801,603,615,1522,591,335,591,903,951,701,802,559,767,617,586,601,640,189
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477,1224,877,642,481,336,353,318,257,187,120,102,79,76,68,102,64,59,77,76,84,85,89,79,78,72,70,67,83,26
registrations,1,1373,798,524,531,516,519,471,485,542,559,563,543,592,638,893,935,1041,1014,1293,1165,492,437,349,261,292,308,344,371,299,311,256,249,305,291,268,216,247,258,350,299,298,288,307,292,243,232,242,54
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,732,804,633,526,360,390,310,319,216,149,17,19,7,6,18,10,9,10,10,9,12,10,11,11,8,6,6,7,3
