item,2013-08-06,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-23,2014-05-29,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
forum_combined_unique,0,0,0,0,1,5,7,8,7,4,7,4,7,4,3,2,2,3,3,2,3,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,1,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,2,5,8,11,6,4,16,6,11,4,5,2,4,5,6,3,4,3,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,1,5,7,8,6,4,7,4,7,4,3,2,2,3,3,2,3,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,2090,4390,4792,4850,4855,5052,4304,4203,4152,5765,5389,8889,8286,5094,6559,3595,2663,2844,4361,2198,1556,566,417,357,822,324,706,589,499,153,228,540,592,1285,1108,725,804,578,568,235,329,382,240,722,176,110,383,104,28,245,210,24,103,41,126,61,13
lecture_combined_unique,0,0,0,0,0,282,584,558,453,421,367,378,382,351,432,399,401,358,246,175,161,184,207,246,131,102,71,31,25,21,17,12,15,15,13,15,12,10,13,7,9,11,9,9,9,12,10,8,13,5,5,7,7,8,6,7,2,6,5,11,10,2
lecture_download_total,0,0,0,0,0,1063,1654,1872,1948,1782,2701,2316,2052,1995,3814,3382,6772,6619,4106,5972,2406,1231,1400,2252,1390,1122,301,297,243,733,256,682,541,468,119,188,486,563,1259,985,692,783,566,540,217,314,220,212,669,168,94,265,89,0,212,199,0,91,0,86,0,0
lecture_download_unique,0,0,0,0,0,91,131,143,129,107,107,117,119,96,122,124,122,116,58,70,42,41,36,42,28,30,13,7,5,5,2,2,5,6,3,4,2,1,3,3,2,2,2,1,4,2,2,3,3,3,1,2,2,0,4,2,0,2,0,2,0,0
lecture_view_total,0,0,0,0,0,1027,2736,2920,2902,3073,2351,1988,2151,2157,1951,2007,2117,1667,988,587,1189,1432,1444,2109,808,434,265,120,114,89,68,24,48,31,34,40,54,29,26,123,33,21,12,28,18,15,162,28,53,8,16,118,15,28,33,11,24,12,41,40,61,13
lecture_view_unique,0,0,0,0,0,233,531,489,387,367,304,310,317,297,359,332,329,280,205,132,141,165,190,229,118,84,63,27,24,19,15,10,11,11,11,12,11,9,10,6,7,9,7,8,6,10,9,5,10,2,4,6,6,8,4,6,2,4,5,9,10,2
quiz_quiz_total,0,0,40,39,29,184,601,684,477,343,171,169,145,162,134,116,127,79,50,107,24,70,48,73,33,8,10,9,2,5,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,3,0,0,2,2,8,0,0,0,0,0,0,5,0
quiz_quiz_unique,0,0,28,29,24,72,174,136,92,64,42,27,39,38,31,31,29,23,20,15,7,15,8,17,13,5,5,2,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
quiz_survey_total,0,0,0,0,0,30,29,11,8,1,1,2,1,1,1,1,1,0,0,15,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
quiz_survey_unique,0,0,0,0,0,30,28,11,8,1,1,2,1,1,1,1,1,0,0,15,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
registrations,124,122,149,187,157,233,597,463,157,147,114,93,122,131,132,146,115,119,99,81,74,80,81,124,74,83,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work_combined_unique,0,0,28,29,24,72,174,136,92,64,42,27,39,38,31,31,29,23,20,15,7,15,8,17,13,5,5,2,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
