item,2012-04-07,2013-08-06,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-09,2014-05-11,2014-05-18,2014-05-26,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
forum_combined_unique,0,0,0,4,8,1,9,16,13,8,9,8,5,2,3,5,5,4,2,3,0,3,0,0,0,2,2,2,2,1,0,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,9,19,0,4,9,6,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,3,6,0,3,8,4,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,12,14,1,11,21,23,23,16,10,8,3,5,6,7,8,5,3,0,5,0,0,0,2,3,4,4,2,0,4,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,4,7,1,9,14,13,8,8,7,5,2,3,5,5,4,2,3,0,3,0,0,0,2,2,2,2,1,0,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,1282,2512,2731,2700,2381,1884,1835,2432,2257,1918,1872,1614,1799,1760,1836,1563,1162,1710,1871,1523,1525,1532,2358,2808,2666,2268,3665,3835,3690,2717,968,700,956,739,1048,904,1241,683,799,324,361,236,245,302,249,105,187,75,69,218,285,38,95,21,108,7,2
lecture_combined_unique,0,0,0,0,0,0,315,504,431,390,308,254,233,241,242,193,156,172,154,137,124,100,86,117,149,82,123,133,165,179,180,159,165,170,139,81,51,31,23,16,14,13,14,11,15,16,8,7,8,7,11,9,6,5,8,8,10,6,4,7,6,5,1
lecture_download_total,0,0,0,0,0,0,447,812,901,1258,1042,971,990,1441,1328,1247,1439,1019,1333,1331,1534,1033,761,1054,937,1111,1159,1105,1876,2176,2033,1671,3087,3343,3257,2488,694,564,868,684,1030,877,1191,628,739,240,316,229,232,290,238,94,179,8,39,182,268,17,86,0,88,0,0
lecture_download_unique,0,0,0,0,0,0,96,137,128,119,89,86,71,87,83,74,65,59,61,58,48,37,23,40,35,34,44,57,63,67,76,56,72,75,54,31,19,11,8,4,6,4,3,2,4,3,2,3,3,3,5,3,1,1,1,2,4,1,1,0,2,0,0
lecture_view_total,0,0,0,0,0,0,835,1700,1830,1442,1339,913,845,991,929,671,433,595,466,429,302,530,401,656,934,412,366,427,482,632,633,597,578,492,433,229,274,136,88,55,18,27,50,55,60,84,45,7,13,12,11,11,8,67,30,36,17,21,9,21,20,7,2
lecture_view_unique,0,0,0,0,0,0,267,440,369,313,258,197,179,186,195,144,107,131,107,94,86,79,74,93,126,53,89,96,125,134,131,122,122,112,106,60,40,23,17,14,8,10,11,9,13,14,6,5,5,4,6,6,5,4,7,6,6,5,3,7,4,5,1
quiz_quiz_total,0,0,0,0,0,0,90,333,320,319,262,174,141,74,81,56,45,61,24,31,31,38,2,62,60,24,31,24,56,34,35,37,56,19,54,76,0,13,15,4,22,17,0,0,0,0,0,0,1,0,2,0,0,1,3,4,0,0,0,0,0,0,1
quiz_quiz_unique,0,0,0,0,0,0,46,153,133,109,74,49,43,29,28,20,20,19,13,11,16,10,2,11,22,13,12,10,15,11,18,13,11,7,8,4,0,2,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
