item,2012-04-07,2014-01-27,2014-06-04,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
forum_combined_unique,0,0,0,0,0,0,0,2,2,1,0,0,1,2,5,25,31,28,22,10,5
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,31,43,6,7,5
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,14,17,4,3,3
forum_post_total,0,0,0,0,0,0,0,2,2,1,0,0,1,2,6,41,82,87,44,23,7
forum_post_unique,0,0,0,0,0,0,0,2,2,1,0,0,1,2,5,23,29,23,21,10,5
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3396,3864,3564,3467,3360,1317
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,688,598,512,497,234
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,1273,1048,1006,1146,664
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,191,151,123,125,60
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433,2591,2516,2461,2214,653
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,601,526,450,428,194
quiz_homework_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,1306,1450,1225,789,139
quiz_homework_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,211,185,136,101,41
quiz_quiz_total,0,0,0,0,0,0,13,26,19,18,37,46,39,34,109,519,691,551,572,449,106
quiz_quiz_unique,0,0,0,0,0,0,11,22,17,11,22,35,32,27,71,233,239,211,158,133,40
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,47,32,23,8,1,1
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,46,32,23,8,1,1
registrations,1,2,220,133,123,138,126,135,135,128,131,265,208,145,238,458,446,357,245,181,42
work_combined_unique,0,0,0,0,0,0,11,22,17,11,22,35,32,27,71,247,288,277,203,162,67
