item,2012-04-07,2013-09-12,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-30,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-15,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,1,0,170,387,894,1189,1011,603,127,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assignment_unique,0,0,0,0,0,0,0,0,0,1,0,25,88,154,168,111,67,21,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_combined_unique,0,0,0,0,0,0,0,0,119,90,59,43,54,49,42,31,13,11,7,7,1,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,36,48,29,7,16,30,20,9,10,1,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,25,30,19,6,10,15,10,7,4,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,185,139,96,87,109,85,80,39,20,11,6,7,1,6,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,112,73,53,41,52,44,39,28,12,10,6,6,1,4,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,16575,16056,15274,14721,14602,12670,12210,13664,8212,4356,4179,5398,3555,2743,2109,2948,1494,1313,839,841,878,658,227,810,259,514,1198,735,647,398,301,260,148,231,261,408,189,169,308,208,229,156,180,136,159,119,16,143,63,3
lecture_combined_unique,0,0,0,0,0,0,0,0,2361,1997,1685,1482,1265,1090,938,753,508,309,299,301,257,241,223,215,138,87,57,61,62,43,37,37,27,32,135,45,24,22,17,14,15,17,20,24,19,20,20,21,21,13,21,15,21,11,10,16,16,1
lecture_download_total,0,0,0,0,0,0,0,0,7090,7680,7724,8160,8987,7880,8384,10304,6008,3315,3101,4290,2608,1696,1260,2195,841,890,637,647,644,545,143,745,171,416,819,540,580,352,275,228,121,195,219,352,139,128,246,168,184,141,139,87,128,100,1,98,0,0
lecture_download_unique,0,0,0,0,0,0,0,0,1030,866,782,705,622,574,526,408,231,132,123,111,102,88,71,72,50,32,22,18,20,18,10,14,8,8,29,15,9,6,5,5,4,6,9,10,4,5,6,7,6,6,5,2,3,4,1,4,0,0
lecture_view_total,0,0,0,0,0,0,0,0,9485,8376,7550,6561,5615,4790,3826,3360,2204,1041,1078,1108,947,1047,849,753,653,423,202,194,234,113,84,65,88,98,379,195,67,46,26,32,27,36,42,56,50,41,62,40,45,15,41,49,31,19,15,45,63,3
lecture_view_unique,0,0,0,0,0,0,0,0,1952,1594,1265,1101,902,743,610,511,366,244,235,244,200,197,188,180,114,65,42,48,49,33,29,25,21,26,116,36,17,17,13,9,12,15,14,20,15,16,16,15,17,10,18,14,18,8,9,12,16,1
quiz_quiz_total,0,0,0,0,0,0,0,0,1179,1518,2487,2254,2094,1975,1645,1166,557,110,27,20,13,18,10,15,5,3,0,1,0,2,0,0,0,1,0,7,1,2,6,6,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
quiz_quiz_unique,0,0,0,0,0,0,0,0,488,606,835,746,666,613,516,393,216,40,12,8,7,7,4,7,5,3,0,1,0,1,0,0,0,1,0,2,1,2,4,3,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
quiz_survey_total,0,0,0,0,0,0,0,0,633,262,127,56,45,21,15,14,13,3,3,8,4,8,5,4,3,0,0,1,1,0,0,0,1,0,7,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,628,261,123,56,44,21,15,14,13,3,3,8,4,8,5,4,2,0,0,1,1,0,0,0,1,0,7,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
registrations,1,279,794,626,503,598,550,783,1008,824,467,387,302,228,175,185,180,173,180,215,209,169,156,163,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work_combined_unique,0,0,0,0,0,0,0,0,488,606,835,749,675,647,538,413,245,57,15,9,7,7,4,7,5,3,1,1,0,1,0,0,0,1,0,2,1,2,4,3,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
