item,1970-01-01,2012-12-27,2012-12-30,2013-01-15,2013-01-20,2013-01-27,2013-02-03,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17,2013-03-24,2013-03-31,2013-04-07,2013-04-14,2013-04-21,2013-04-28,2013-05-05,2013-05-12,2013-05-19,2013-05-26,2013-06-02,2013-06-09,2013-06-16,2013-06-23,2013-06-30,2013-07-07,2013-07-14,2013-07-21,2013-07-28,2013-08-04,2013-08-11,2013-08-24,2013-08-26,2013-09-02,2013-09-08,2013-09-15,2013-09-22,2013-10-02,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-23,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-21,2014-05-25,2014-06-02,2014-06-08,2014-06-15,2014-06-22,2014-06-30,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-09-06,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,11918,18236,17276,13306,11688,11494,6801,8768,3716,191,164,187,122,94,113,120,91,107,105,167,127,63,40,83,48,20,34,16,3,2,3,5,1,2,2,1,2,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,5347,8121,7905,6252,4889,4679,3709,4397,2108,91,78,74,58,43,51,43,45,44,46,57,54,28,20,29,19,11,23,10,3,2,3,4,1,2,2,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,631,612,521,387,315,264,312,350,172,54,43,5,3,6,1,1,3,0,3,0,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,541,559,693,436,354,334,397,298,113,33,10,2,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,237,268,256,176,151,129,139,124,64,22,7,2,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,976,918,654,483,425,509,600,236,61,56,6,3,5,0,1,2,0,3,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,572,512,442,317,259,222,258,310,148,43,40,5,3,5,0,1,2,0,3,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,175861,153642,104887,92624,96971,104616,110287,78759,40489,32891,23870,15429,17492,12754,12528,12028,12287,12211,11309,13247,11813,6191,8877,7287,5238,4419,4327,4472,3127,2305,2131,2297,7856,3716,2314,4151,1522,2819,2569,2166,3186,1044,1834,2715,1883,1416,1452,1167,1582,1698,1149,1356,1342,775,581,1096,1802,874,652,1059,718,625,601,629,520,310,821,697,777,554,319,404,336,426,513,294,712,320,281,408,34
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,16805,14506,11794,9808,8662,7900,7370,5298,2739,1511,1313,1037,895,817,762,738,796,749,818,807,777,456,483,433,397,399,270,234,195,184,164,159,357,267,170,153,127,134,165,127,129,110,108,117,110,91,74,86,77,77,95,115,86,84,81,85,97,72,74,53,65,51,58,52,47,46,63,47,52,33,43,35,46,47,38,40,45,44,42,38,11
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,45313,43034,28176,34121,41045,44828,52145,42946,26901,24318,16331,9176,12147,7922,8327,7558,7753,7745,6822,8562,7149,3302,6402,5240,3214,2635,3041,3251,1968,1304,1259,1757,6102,2445,1643,3430,1095,2335,1803,1427,2433,618,1462,2163,1308,1021,1170,797,1214,1251,751,837,1007,375,84,706,1391,530,353,869,442,335,390,378,365,72,516,351,475,339,134,151,21,135,339,146,480,154,66,217,0
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,4604,4100,3538,3141,2866,2929,2922,1789,843,589,434,288,275,237,239,207,195,180,230,216,203,111,133,128,107,98,76,68,56,45,41,49,118,71,43,57,43,47,53,38,39,28,30,29,26,24,25,22,20,22,26,13,24,8,8,18,24,14,7,14,12,7,9,9,7,5,11,6,7,1,6,3,6,8,5,5,11,5,3,7,0
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,0,130548,110608,76711,58503,55926,59788,58142,35813,13588,8573,7539,6253,5345,4832,4201,4470,4534,4466,4487,4685,4664,2889,2475,2047,2024,1784,1286,1221,1159,1001,872,540,1754,1271,671,721,427,484,766,739,753,426,372,552,575,395,282,370,368,447,398,519,335,400,497,390,411,344,299,190,276,290,211,251,155,238,305,346,302,215,185,253,315,291,174,148,232,166,215,191,34
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,15805,12994,10315,8223,7192,6296,5778,4429,2256,1148,1049,863,740,686,625,624,695,647,686,695,655,389,400,354,321,336,221,187,158,151,134,120,277,221,142,115,96,104,134,101,107,89,87,97,93,73,61,72,62,63,80,109,70,79,79,71,79,62,67,46,57,47,51,44,43,44,57,45,46,32,37,34,44,40,34,37,39,40,39,33,11
quiz_video_total,0,0,0,0,0,0,0,0,0,0,0,0,0,63603,82926,45512,32213,29589,22423,18539,12001,4567,3225,2668,2378,1698,1772,1715,1916,2075,2051,1910,2166,2078,1103,923,886,880,782,493,487,339,287,319,219,645,517,273,268,189,225,310,327,315,128,167,222,268,154,115,161,143,118,190,137,122,85,83,164,148,151,46,98,38,96,63,101,69,96,134,93,134,68,70,70,129,93,29,69,63,43,46,34,9
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,6913,8111,6546,4918,4420,3945,3747,2505,775,398,325,307,244,204,207,221,235,231,243,249,225,158,144,122,122,91,86,80,56,57,48,39,94,86,45,31,30,30,42,39,45,25,23,30,38,22,18,22,17,15,20,18,13,18,13,19,21,16,9,14,8,12,13,14,10,12,18,14,15,11,7,13,13,10,4,6,5,7,8,6,3
registrations,177,327,172,140,2089,2014,1924,1603,1975,2204,1909,2164,3611,8462,2497,1097,839,750,713,758,694,817,633,667,629,567,580,535,518,614,488,634,599,426,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,5347,8121,7905,6252,4889,4679,3709,4397,2108,91,78,74,58,43,51,43,45,44,46,57,54,28,20,29,19,11,23,10,3,2,3,4,1,2,2,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
