item,2013-08-15,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-07,2014-05-17,2014-05-22,2014-05-26,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-07-03,2014-07-12,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-15,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,10407,20381,15995,13830,5623,7665,9113,4411,3360,555,374,346,293,239,268,288,321,281,309,296,222,241,274,276,238,215,128,126,107,114,114,76,15,6,2,4,3,2,0,0,0,2,0,0,1,0,0,2,0,1,0,0,1,2,3,0
assignment_unique,0,0,0,0,0,4668,9035,7609,6482,2730,4018,5050,2405,1890,219,175,132,129,114,128,108,115,118,121,118,104,112,113,116,106,81,67,50,55,47,39,30,11,6,2,1,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,2,3,0
forum_combined_unique,0,0,0,0,0,503,604,504,411,312,202,282,196,83,103,77,17,5,7,4,7,11,7,4,4,2,5,2,6,7,3,1,2,0,1,0,0,1,2,2,0,0,2,1,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,417,582,649,394,287,154,260,125,32,34,44,13,1,1,0,3,2,1,2,0,2,0,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,175,260,224,193,114,80,112,70,24,26,23,8,1,1,0,2,2,1,2,0,1,0,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,932,1026,921,707,504,341,516,258,96,100,82,12,12,7,4,6,17,7,2,6,1,8,0,6,6,2,1,2,0,1,0,0,1,2,2,0,0,2,1,0,0,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,477,508,436,333,270,175,258,167,71,84,65,10,5,6,4,5,9,6,2,4,1,5,0,3,6,2,1,2,0,1,0,0,1,2,2,0,0,2,1,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,152357,161231,105042,102068,84889,101431,120303,97412,61747,41774,35289,27176,22600,20368,20199,17288,22097,20940,19991,19910,15456,16098,17231,15651,15090,11915,10843,9284,9210,8272,8326,7276,5808,4028,2646,2392,2712,1476,1625,3127,3524,2119,2539,1540,1582,1055,1390,1106,1256,1015,1524,836,1229,1255,809,72
lecture_combined_unique,0,0,0,0,0,14838,14345,11613,9797,7716,7545,7654,5900,3736,2276,2025,1670,1461,1385,1245,1206,1303,1337,1463,1347,1242,1196,1314,1354,1287,906,849,725,757,655,653,596,410,340,272,236,234,181,136,150,148,180,174,136,122,97,94,98,126,119,109,109,124,104,90,27
lecture_download_total,0,0,0,0,0,40451,46255,29579,39171,35085,41269,58728,61209,39160,27293,24421,17497,13215,11886,11880,8839,13387,12405,10465,10775,6889,7961,8513,6242,6652,5491,5693,4598,4625,4120,3897,3558,3308,2240,1216,1230,1568,669,933,2362,2468,1351,1559,821,1070,566,583,606,709,374,825,364,628,738,411,0
lecture_download_unique,0,0,0,0,0,3793,3981,3418,3034,2414,2599,2877,1921,1065,694,661,438,352,335,329,295,323,298,342,285,242,241,252,262,251,184,159,119,136,119,113,104,74,57,40,43,41,27,16,29,31,34,22,27,26,17,16,19,15,12,13,11,19,13,9,0
lecture_view_total,0,0,0,0,0,111906,114976,75463,62897,49804,60162,61575,36203,22587,14481,10868,9679,9385,8482,8319,8449,8710,8535,9526,9135,8567,8137,8718,9409,8438,6424,5150,4686,4585,4152,4429,3718,2500,1788,1430,1162,1144,807,692,765,1056,768,980,719,512,489,807,500,547,641,699,472,601,517,398,72
lecture_view_unique,0,0,0,0,0,13817,12930,10098,8311,6406,6257,6232,4916,3145,1878,1655,1432,1289,1225,1074,1064,1158,1199,1301,1212,1123,1081,1194,1245,1178,818,767,665,691,586,598,530,366,307,249,208,208,162,126,129,127,160,159,118,104,87,84,86,114,111,101,102,112,95,83,27
quiz_video_total,0,0,0,0,0,55966,85632,39924,33570,26681,20445,19655,14643,9746,6650,5328,4765,4342,3873,4039,3771,4398,3976,4382,4328,3862,3425,3995,4700,4025,2819,2128,1868,1733,1753,1890,1562,1029,432,465,335,309,250,182,221,174,360,316,261,138,219,197,141,223,230,316,154,215,229,113,9
quiz_video_unique,0,0,0,0,0,6090,7939,6284,4804,3862,3815,3775,2284,1338,807,656,569,520,470,429,427,481,451,518,507,458,417,454,518,463,342,277,261,245,203,219,177,124,83,72,54,54,42,31,34,28,51,45,40,29,30,28,25,29,30,33,26,28,28,15,3
registrations,729,3273,7765,4438,4332,8187,4044,1753,1283,1107,1074,1148,2151,1459,1016,882,878,829,828,686,666,849,894,964,768,734,750,938,869,713,221,225,213,240,214,214,110,0,0,0,7,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work_combined_unique,0,0,0,0,0,4668,9035,7609,6482,2730,4018,5050,2405,1890,219,175,132,129,114,128,108,115,118,121,118,104,112,113,116,106,81,67,50,55,47,39,30,11,6,2,1,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,2,3,0
