item,1970-01-01,2012-04-07,2014-02-28,2014-03-07,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,3420,10598,13003,14628,12136,7813,5654,7562,5498,3358,2169,272,264,363,236,210,300,292,96,113,129,61,32,25,3
assignment_unique,0,0,0,0,0,0,0,0,0,0,2119,5362,6316,6905,5924,3903,3059,4068,3216,1950,1248,116,107,123,103,95,111,132,59,55,56,36,21,19,3
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,388,561,427,418,323,252,186,184,154,132,69,32,46,13,10,5,5,8,8,4,0,4,3,1,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,189,448,337,390,412,337,214,208,132,70,23,9,34,5,3,1,0,2,5,7,0,0,0,1,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,100,200,165,159,150,106,70,90,54,39,18,7,18,5,2,1,0,2,5,4,0,0,0,1,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,602,1045,684,714,629,486,413,341,263,218,103,33,46,14,10,10,6,7,4,2,0,4,5,1,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,362,507,374,367,281,215,168,150,137,115,63,28,39,10,8,5,5,7,4,1,0,4,3,1,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,40098,128859,115762,91587,87013,80517,83909,86642,56235,45135,33360,26623,26051,21195,16475,17739,18728,14036,10635,8512,8764,6967,4887,4862,710
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,9250,14542,12412,11015,9467,7998,7147,6815,4960,3825,2463,1794,1703,1552,1380,1473,1501,1288,930,791,757,676,512,411,114
lecture_download_total,0,0,0,0,0,0,0,0,0,0,6491,27396,28152,21029,25748,27397,30829,30041,21957,22779,19539,16311,14875,10478,7428,7798,8532,5670,4905,4004,3735,2639,1838,2485,236
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,1187,2903,2434,2287,2015,1790,1679,1673,988,737,527,338,310,254,201,231,234,170,128,96,97,73,64,54,10
lecture_view_total,0,0,0,0,0,0,0,0,0,0,33607,101463,87610,70558,61265,53120,53080,56601,34278,22356,13821,10312,11176,10717,9047,9941,10196,8366,5730,4508,5029,4328,3049,2377,474
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,8806,13675,11457,9982,8491,7059,6213,5936,4456,3436,2158,1599,1541,1427,1279,1366,1400,1210,865,735,700,632,482,377,108
quiz_video_total,0,0,0,0,0,0,0,0,0,0,0,26,19299,38167,30594,25776,20281,17868,10899,7895,5158,3900,4841,4340,3977,4037,4322,3676,2462,1915,2155,1670,913,782,123
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,0,8,2624,5348,4581,3801,3442,3324,2137,1352,701,486,527,501,465,468,487,441,321,244,258,226,156,121,28
registrations,1,1,2,3456,3498,2550,2454,2801,2792,3173,5730,4604,2922,1760,1517,1180,1079,987,888,958,960,920,903,858,854,942,891,537,247,199,188,136,106,87,15
work_combined_unique,0,0,0,0,0,0,0,0,0,0,2119,5362,6316,6905,5924,3903,3059,4068,3216,1950,1248,116,107,123,103,95,111,132,59,55,56,36,21,19,3
