item,2012-04-07,2014-05-23,2014-08-20,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,6402,10944,11743,3544
assignment_unique,0,0,0,0,0,0,2988,4938,5404,2034
forum_combined_unique,0,0,0,0,0,0,373,310,345,102
forum_comment_total,0,0,0,0,0,0,224,195,324,54
forum_comment_unique,0,0,0,0,0,0,111,95,134,33
forum_post_total,0,0,0,0,0,0,772,547,599,182
forum_post_unique,0,0,0,0,0,0,346,284,301,94
lecture_combined_total,0,0,0,0,0,0,103863,97392,74959,20532
lecture_combined_unique,0,0,0,0,0,0,10959,10097,8756,3453
lecture_download_total,0,0,0,0,0,0,18136,20097,14200,6070
lecture_download_unique,0,0,0,0,0,0,1816,1783,1562,571
lecture_view_total,0,0,0,0,0,0,85727,77295,60759,14461
lecture_view_unique,0,0,0,0,0,0,10506,9440,8108,3110
quiz_video_total,0,0,0,0,0,0,37157,51129,33034,7549
quiz_video_unique,0,0,0,0,0,0,4125,5131,4468,1388
registrations,1,1,5132,3294,3810,4323,5755,3254,1826,252
work_combined_unique,0,0,0,0,0,0,2988,4938,5404,2034
