item,2012-04-07,2013-08-23,2013-08-27,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,4376,15542,35746,25120,27724,20645,18292,8653,12952,565,125,155,70,54,48,75,99,59,93,76,57,34,33,54,41,60,47,64,35,79,60,74,100,119,140,140,90,113,77,117,65,121,26,80,66,57,40,20,4
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,3630,9116,8640,4845,6146,5190,4279,1905,2692,158,52,43,28,20,20,25,21,22,15,21,18,13,21,19,20,25,21,18,11,24,16,27,43,38,37,39,32,36,23,30,26,25,19,24,17,17,22,13,4
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,596,762,880,594,549,434,343,229,206,96,74,44,3,1,1,3,1,2,1,2,1,1,2,2,1,1,4,0,1,1,0,1,0,1,2,0,1,2,0,3,0,1,1,1,2,1,3,0,2
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,434,989,1021,993,688,438,349,140,192,54,48,19,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,207,369,405,321,305,222,173,92,97,33,30,14,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,952,1346,1812,1169,970,742,563,372,288,106,77,50,1,1,0,2,1,2,1,2,1,3,2,2,1,1,5,0,1,0,0,1,0,1,2,0,1,1,0,1,0,1,1,3,2,1,3,0,2
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,543,652,765,477,426,342,259,191,161,73,57,35,1,1,0,2,1,2,1,2,1,1,2,2,1,1,2,0,1,0,0,1,0,1,2,0,1,1,0,1,0,1,1,1,2,1,3,0,2
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,164480,157789,142392,111608,120078,95369,94771,65266,43304,25978,29853,22187,17421,10563,9826,11467,10627,11647,8682,9054,7553,8763,8030,7941,8026,7107,8683,6991,7338,7198,7781,6437,7761,9283,9823,11404,5288,7397,5726,6941,5367,6354,5944,7284,6314,7058,6906,5937,1022
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,19527,16685,14054,10739,9938,8948,7829,4372,3065,1672,1453,1227,912,684,681,698,609,629,608,728,628,767,654,609,640,600,621,570,545,594,536,558,582,618,746,643,565,505,498,535,546,545,552,588,596,599,578,531,160
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,57029,56237,53105,49419,57902,47983,60979,46098,30272,19460,25281,18004,14051,7841,7011,8505,8010,8958,6016,6017,4971,5838,5278,4951,5399,4458,6311,4504,5072,4340,5357,3791,4621,6226,6088,8251,2755,4708,3361,3995,2714,3412,3482,4517,3529,4024,4324,3508,528
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,6724,5967,5282,4179,4235,3757,3499,1621,999,582,560,449,295,210,204,204,193,194,150,159,163,176,166,131,133,117,125,109,130,108,104,112,125,137,162,131,100,90,83,85,81,85,92,93,92,115,93,79,21
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,107451,101552,89287,62189,62176,47386,33792,19168,13032,6518,4572,4183,3370,2722,2815,2962,2617,2689,2666,3037,2582,2925,2752,2990,2627,2649,2372,2487,2266,2858,2424,2646,3140,3057,3735,3153,2533,2689,2365,2946,2653,2942,2462,2767,2785,3034,2582,2429,494
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,0,17327,14210,11675,8533,7758,6826,5658,3375,2467,1267,1060,919,708,542,545,573,483,500,522,631,531,658,543,518,556,526,533,501,445,523,467,487,499,521,652,551,499,447,446,481,495,491,499,528,543,525,520,476,145
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quiz_video_total,0,0,0,0,0,0,0,0,0,0,0,0,67755,86079,68394,46125,37971,24750,14528,7433,4936,2799,1995,1721,1602,1187,1276,1187,1117,1087,1206,1036,1029,981,982,1229,987,1064,935,992,890,1209,871,1181,1459,1434,1896,1546,1026,1207,867,1186,1018,1334,955,1205,1066,1259,947,997,266
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,0,0,11529,10368,8770,6287,5744,4806,3455,1892,1205,594,414,327,305,236,228,224,193,195,209,196,182,195,189,187,206,194,172,168,153,200,160,186,215,215,264,231,205,193,173,193,184,208,166,183,206,205,177,177,62
registrations,1,2,10787,3557,2111,2331,1761,1352,1878,1664,1549,3781,9160,2434,880,603,513,435,457,332,348,359,373,402,365,298,292,396,324,420,429,438,369,438,409,388,414,384,426,390,434,513,331,383,387,470,522,375,388,343,343,411,403,508,533,577,638,620,540,522,105
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,3630,9116,8640,4845,6146,5190,4279,1905,2692,158,52,43,28,20,20,25,21,22,15,21,18,13,21,19,20,25,21,18,11,24,16,27,43,38,37,39,32,36,23,30,26,25,19,24,17,17,22,13,4
