item,2012-04-07,2013-08-28,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-18,2013-12-22,2013-12-29,2014-01-08,2014-01-12,2014-01-19,2014-01-31,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-31,2014-04-06,2014-04-13,2014-04-21,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-29,2014-06-02,2014-06-09,2014-06-15,2014-06-22,2014-06-29,2014-07-07,2014-07-13,2014-07-20,2014-07-28,2014-08-03,2014-08-13,2014-08-20,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_combined_unique,0,0,0,6,11,9,21,18,26,10,13,12,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,1,1,6,6,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,1,1,3,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,7,14,12,27,26,44,18,20,20,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,6,10,8,20,17,26,10,13,12,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,2038,9307,7257,8496,6694,4510,5998,4054,5043,6597,4196,1608,3256,713,1029,395,320,324,880,30,183,114,97,358,157,84,272,241,181,10,89,3,278,307,317,361,305,262,283,97,138,93,89,87,40,45,80,38,2,74,97,54,121,55,91,33,8
lecture_combined_unique,0,0,0,316,921,868,798,680,572,586,452,463,562,407,176,277,56,45,22,15,15,22,7,18,12,10,15,17,15,8,4,6,5,2,3,4,5,6,12,3,4,4,4,2,2,2,5,2,3,2,2,1,1,2,5,11,9,7,5,2
lecture_download_total,0,0,0,838,2053,1816,2451,1732,1057,1711,1441,1955,2873,2325,656,893,509,892,349,291,284,811,0,149,71,74,330,115,49,251,231,161,0,89,0,240,282,308,342,293,237,282,91,137,92,81,81,38,38,79,34,2,74,96,37,86,31,81,10,0
lecture_download_unique,0,0,0,93,272,209,239,195,135,160,124,142,162,118,38,50,15,16,11,8,5,9,0,9,2,1,5,2,3,3,4,4,0,2,0,1,1,2,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,4,1,0
lecture_view_total,0,0,0,1200,7254,5441,6045,4962,3453,4287,2613,3088,3724,1871,952,2363,204,137,46,29,40,69,30,34,43,23,28,42,35,21,10,20,10,0,3,38,25,9,19,12,25,1,6,1,1,8,6,2,7,1,4,0,0,1,17,35,24,10,23,8
