item,2012-04-07,2014-05-23,2014-07-08,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,115
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,115
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,3,10,11,23,9
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,1,7,5,5,2
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,2
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,3,14,15,34,12
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,3,9,9,23,8
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,2190,7935,5155,5715,1323
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,319,837,663,648,250
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,709,1655,1118,1299,283
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,101,238,174,195,58
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,1481,6280,4037,4416,1040
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,287,765,609,573,214
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,5,8,10,3,1
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,5,8,10,3,1
registrations,1,1,135,95,83,90,105,126,117,159,296,581,489,207,115,14
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,115
