item,2012-04-07,2013-09-30,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,121,80,88,68,57,65,41,39,22,32,36,51,19,6,4,13,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,84,42,47,25,30,18,23,26,7,29,32,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,38,29,30,20,17,11,11,12,5,14,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,210,92,131,89,70,95,59,68,30,47,54,65,21,7,5,14,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,106,67,76,60,46,59,34,35,20,25,34,47,18,6,4,13,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18117,20085,14671,14062,12311,11892,9425,7963,7940,5736,6984,9774,11202,6482,3890,2166,3256,1379,870,627,921,892,371,303,291,286,212,604,130,216,198,583,386,10
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2345,2276,1636,1670,1326,1178,971,767,748,574,733,781,767,420,170,136,143,107,68,35,39,33,33,25,24,18,19,27,16,14,14,14,15,2
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6788,7937,6019,6386,6526,6408,4413,4539,4811,3387,4217,6118,8085,4889,3341,1751,2833,999,691,507,792,790,247,230,193,210,140,317,0,196,152,547,300,9
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,956,714,747,645,572,430,384,376,234,334,392,415,192,70,49,56,36,22,9,17,8,6,7,5,4,3,6,0,5,5,3,6,2
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11329,12148,8652,7676,5785,5484,5012,3424,3129,2349,2767,3656,3117,1593,549,415,423,380,179,120,129,102,124,73,98,76,72,287,130,20,46,36,86,1
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,1904,1264,1275,929,816,701,508,501,410,514,521,492,282,114,101,101,82,53,28,28,27,28,21,21,15,17,22,16,11,10,12,12,1
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,2576,2421,1780,1368,1811,785,646,1160,914,1797,1057,545,47,37,10,9,7,8,0,0,2,1,0,0,2,2,0,0,0,2,11,0
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,1064,940,686,573,655,322,269,372,322,517,411,228,28,15,7,5,3,2,0,0,1,1,0,0,1,1,0,0,0,2,1,0
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,392,168,72,20,17,14,5,6,7,8,10,3,3,5,4,57,18,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,379,164,71,20,17,12,5,6,7,8,10,3,3,5,4,56,18,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
registrations,1,225,232,259,466,401,309,244,232,230,204,216,232,137,203,236,298,406,339,411,602,840,614,309,168,145,113,122,96,83,109,145,123,108,115,80,84,84,72,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,1064,940,686,573,655,322,269,372,322,517,411,228,28,15,7,5,3,2,0,0,1,1,0,0,1,1,0,0,0,2,1,0
